time,stage,confidence,theta_alpha,beta_rel,motion_rms,fac_rate,signal,eog_on,eog_sacc
5.0,Wake,0.7,2.8621,0.4998,46.3618,0.0,1.0,0.0,0.0
10.2,Wake,0.7,2.9524,0.5635,46.5079,0.0,1.0,0.0,0.0
15.3,Wake,0.7,1.9494,0.7959,46.3249,0.0,1.0,0.0,0.0
20.4,Wake,0.7,1.448,1.093,46.1015,0.0,1.0,0.0,0.0
25.5,Wake,0.7,1.4044,1.0311,45.2456,0.0,1.0,0.0,0.0
30.6,Wake,0.7,1.2913,0.988,44.1874,0.0,1.0,0.0,0.0
35.8,Wake,0.7,1.2802,1.0878,41.6549,0.0,1.0,0.0,0.0
40.9,Wake,0.7,1.2404,1.1354,40.1268,0.0,1.0,0.0,0.0
46.0,Wake,0.7,1.3088,1.1191,41.2825,0.0,1.0,0.0,0.0
51.1,Wake,0.7,1.3874,1.0303,45.3231,0.0,1.0,0.0,0.0
56.3,Wake,0.7,1.8633,0.8501,50.4551,0.0,1.0,0.0,0.0
61.4,Wake,0.7,2.2356,0.8053,50.7264,0.0,1.0,0.0,0.0
66.5,Wake,0.7,2.432,0.6385,50.7916,0.0,1.0,0.0,0.0
71.6,Wake,0.7,2.6375,0.5235,50.9541,0.0,1.0,0.0,0.0
76.7,Wake,0.7,2.4158,0.541,50.9862,0.0,1.0,0.0,0.0
81.9,Wake,0.7,2.0955,0.6399,51.0156,0.0,1.0,0.0,0.0
87.0,Wake,0.7,2.1975,0.6897,50.9482,0.0,1.0,0.0,0.0
92.1,Wake,0.7,1.4766,0.7821,51.0407,0.0,1.0,0.0,0.0
97.2,Wake,0.7,1.4984,0.7701,51.0881,0.0,1.0,0.0,0.0
102.4,Wake,0.7,1.9165,0.6519,51.04,0.0,1.0,0.0,0.0
107.5,Wake,0.7,2.1835,0.5904,50.9213,0.0,1.0,0.0,0.0
112.6,Wake,0.7,1.9505,0.5162,50.7443,0.0,1.0,0.0,0.0
117.7,Wake,0.7,1.8776,0.508,50.5803,0.0,1.0,0.0,0.0
122.8,Wake,0.7,1.9278,0.4564,50.4887,0.0,1.0,0.0,0.0
128.0,Wake,0.7,1.4395,0.7778,50.4078,0.0,1.0,0.0,0.0
133.1,Wake,0.7,1.3039,0.8407,50.3497,0.0,1.0,0.0,0.0
138.2,Wake,0.7,1.7883,0.7182,50.258,0.0,1.0,0.0,0.0
143.3,Wake,0.7,1.9232,0.7258,50.0601,0.0,1.0,0.0,0.0
148.5,Wake,0.7,1.8133,0.7202,49.9173,0.0,1.0,0.0,0.0
153.6,Wake,0.7,1.805,0.7175,49.8226,0.0,1.0,0.0,0.0
158.7,Wake,0.7,2.2398,0.4383,49.8684,0.0,1.0,0.0,0.0
163.8,Wake,0.7,1.7438,0.3961,49.8945,0.0,1.0,0.0,0.0
168.9,Wake,0.7,0.8895,0.4415,49.9054,0.0,1.0,0.0,0.0
174.1,Wake,0.7,0.7448,0.4283,49.9592,0.0,1.0,0.0,0.0
179.2,Wake,0.7,0.8268,0.4416,49.9781,0.0,1.0,0.0,0.0
184.3,Wake,0.7,0.6798,0.4472,49.9876,0.0,1.0,0.0,0.0
189.4,Wake,0.7,1.1809,0.3781,49.9724,0.0,1.0,0.0,0.0
194.6,Wake,0.7,1.7485,0.3756,49.981,0.0,1.0,0.0,0.0
199.7,Wake,0.7,1.6372,0.3619,50.0206,0.0,1.0,0.0,0.0
204.8,Wake,0.7,1.7138,0.3669,50.0624,0.0,1.0,0.0,0.0
209.9,Wake,0.7,1.6975,0.3636,50.1453,0.0,1.0,0.0,0.0
215.0,Wake,0.7,1.7184,0.3617,50.2109,0.0,1.0,0.0,0.0
220.2,Wake,0.7,1.3698,0.382,50.188,0.0,1.0,0.0,0.0
225.3,Wake,0.7,0.8961,0.3915,50.2055,0.0,1.0,0.0,0.0
230.4,Wake,0.7,1.1662,0.3934,50.208,0.0,1.0,0.0,0.0
235.5,Wake,0.7,1.1445,0.3735,50.2056,0.0,1.0,0.0,0.0
240.7,Wake,0.7,1.151,0.3828,50.1937,0.0,1.0,0.0,0.0
245.8,Wake,0.7,1.0553,0.3737,50.221,0.0,1.0,0.0,0.0
250.9,Wake,0.7,1.0046,0.4171,50.2221,0.0,1.0,0.0,0.0
256.0,Wake,0.7,1.0482,0.4166,50.2161,0.0,1.0,0.0,0.0
261.1,Wake,0.7,0.8245,0.4174,50.1808,0.0,1.0,0.0,0.0
266.3,Wake,0.7,0.7498,0.4305,50.2028,0.0,1.0,0.0,0.0
271.4,Wake,0.7,0.7862,0.458,50.2388,0.0,1.0,0.0,0.0
276.5,Wake,0.7,0.9261,0.4834,50.2263,0.0,1.0,0.0,0.0
281.6,Wake,0.7,0.9146,0.4815,50.2388,0.0,1.0,0.0,0.0
286.8,Wake,0.7,0.8689,0.4357,50.2314,0.0,1.0,0.0,0.0
291.9,Wake,0.7,0.853,0.4537,50.2604,0.0,1.0,0.0,0.0
297.0,Wake,0.7,0.8838,0.4538,50.2526,0.0,1.0,0.0,0.0
