time,stage,confidence,theta_alpha,beta_rel,motion_rms,fac_rate,signal,eog_on,eog_sacc
5.1,Wake,0.7,0.596,0.6113,20.264,0.0,1.0,0.0,0.0
10.2,Wake,0.7,0.5271,0.643,20.0504,0.0,1.0,0.0,0.0
15.3,Wake,0.7,0.5824,0.6288,20.013,0.0,1.0,0.0,0.0
20.4,Wake,0.7,0.6241,0.6064,19.98,0.0,1.0,0.0,0.0
25.6,Wake,0.7,0.616,0.5976,20.0103,0.0,1.0,0.0,0.0
30.7,Wake,0.7,0.6502,0.5778,20.0034,0.0,1.0,0.0,0.0
35.8,Wake,0.7,0.6822,0.5615,19.9813,0.0,1.0,0.0,0.0
40.9,Wake,0.7,0.7537,0.5494,20.0176,0.0,1.0,0.0,0.0
46.0,Wake,0.7,0.7497,0.528,20.0682,0.0,1.0,0.0,0.0
51.2,Wake,0.7,0.7428,0.5371,20.1228,0.0,1.0,0.0,0.0
56.3,Wake,0.7,0.7603,0.5333,20.1329,0.0,1.0,0.0,0.0
61.4,Wake,0.7,0.7695,0.569,20.1536,0.0,1.0,0.0,0.0
66.5,Wake,0.7,1.0509,0.5165,20.1987,0.0,1.0,0.0,0.0
71.7,Wake,0.7,1.6731,0.4214,20.2676,0.0,1.0,0.0,0.0
76.8,Wake,0.7,1.6888,0.4187,20.2072,0.0,1.0,0.0,0.0
81.9,Wake,0.7,2.0404,0.4008,20.1119,0.0,1.0,0.0,0.0
87.0,Wake,0.7,1.9576,0.3953,19.8389,0.0,1.0,0.0,0.0
92.1,Wake,0.7,1.8754,0.3768,19.1641,0.0,1.0,0.0,0.0
97.3,Wake,0.7,1.2924,0.4521,19.0956,0.0,1.0,0.0,0.0
102.4,Wake,0.7,1.061,0.4682,19.051,0.0,1.0,0.0,0.0
107.5,Wake,0.7,0.8085,0.5028,19.0431,0.0,1.0,0.0,0.0
112.6,Wake,0.7,0.5471,0.5205,19.0141,0.0,1.0,0.0,0.0
117.8,Wake,0.7,0.5402,0.5313,19.0292,0.0,1.0,0.0,0.0
122.9,Wake,0.7,0.5348,0.5653,19.0139,0.0,1.0,0.0,0.0
128.0,Wake,0.7,0.5567,0.5637,18.9532,0.0,1.0,0.0,0.0
133.1,Wake,0.7,0.5786,0.5765,18.9139,0.0,1.0,0.0,0.0
138.2,Wake,0.7,0.642,0.5824,18.9271,0.0,1.0,0.0,0.0
143.4,Wake,0.7,0.6696,0.5941,18.983,0.0,1.0,0.0,0.0
148.5,Wake,0.7,0.6628,0.6027,19.0493,0.0,1.0,0.0,0.0
153.6,Wake,0.7,0.6445,0.5751,19.1836,0.0,1.0,0.0,0.0
158.7,Wake,0.7,0.7838,0.4973,19.2944,0.0,1.0,0.0,0.0
163.9,Wake,0.7,0.7952,0.506,19.2944,0.0,1.0,0.0,0.0
169.0,Wake,0.7,0.7655,0.4922,19.2175,0.0,1.0,0.0,0.0
174.1,Wake,0.7,0.7451,0.5038,18.4431,0.0,1.0,0.0,0.0
179.2,Wake,0.7,0.7511,0.4821,18.2755,0.0,1.0,0.0,0.0
184.3,Wake,0.7,0.8014,0.484,18.2618,0.0,1.0,0.0,0.0
189.5,Wake,0.7,0.848,0.5562,18.3326,0.0,1.0,0.0,0.0
194.6,Wake,0.7,1.3333,0.4899,18.4253,0.0,1.0,0.0,0.0
199.7,Wake,0.7,1.6435,0.4813,22.0433,0.0,1.0,0.0,0.0
204.8,Wake,0.7,1.8899,0.4825,28.0732,0.0,1.0,0.0,0.0
210.0,Wake,0.7,2.2654,0.5114,34.6553,0.0,1.0,0.0,0.0
215.1,Wake,0.7,2.4381,0.5387,35.2906,0.0,1.0,0.0,0.0
220.2,Wake,0.7,2.3495,0.5394,35.5281,0.0,1.0,0.0,0.0
225.3,Wake,0.7,1.3785,0.6475,35.3658,0.0,1.0,0.0,0.0
230.4,Wake,0.7,1.0704,0.6754,34.6115,0.0,1.0,0.0,0.0
235.6,Wake,0.7,0.8225,0.6596,17.3026,0.0,1.0,0.0,0.0
240.7,Wake,0.7,0.7129,0.6182,16.9871,0.0,1.0,0.0,0.0
245.8,Wake,0.7,0.6035,0.6068,16.8917,0.0,1.0,0.0,0.0
250.9,Wake,0.7,0.4892,0.585,16.8618,0.0,1.0,0.0,0.0
256.1,Wake,0.7,0.5226,0.5793,16.8552,0.0,1.0,0.0,0.0
261.2,Wake,0.7,0.5949,0.5654,16.8481,0.0,1.0,0.0,0.0
266.3,Wake,0.7,0.6255,0.5914,16.7837,0.0,1.0,0.0,0.0
271.4,Wake,0.7,0.6325,0.6247,16.7617,0.0,1.0,0.0,0.0
276.5,Wake,0.7,0.5862,0.5851,16.7693,0.0,1.0,0.0,0.0
281.7,Wake,0.7,0.6174,0.5944,16.7591,0.0,1.0,0.0,0.0
286.8,Wake,0.7,0.5876,0.5886,16.7529,0.0,1.0,0.0,0.0
291.9,Wake,0.7,0.564,0.5781,16.7826,0.0,1.0,0.0,0.0
297.0,Wake,0.7,0.5627,0.5738,16.7793,0.0,1.0,0.0,0.0
302.2,Wake,0.7,0.5591,0.5632,16.7799,0.0,1.0,0.0,0.0
307.3,Wake,0.7,0.5811,0.5822,16.7234,0.0,1.0,0.0,0.0
312.4,Wake,0.7,0.5868,0.5659,16.661,0.0,1.0,0.0,0.0
317.5,Wake,0.7,0.533,0.5578,16.6771,0.0,1.0,0.0,0.0
322.6,Wake,0.7,0.5004,0.5495,16.6567,0.0,1.0,0.0,0.0
327.8,Wake,0.7,0.5054,0.5564,16.6659,0.0,1.0,0.0,0.0
332.9,Wake,0.7,0.5224,0.5776,16.66,0.0,1.0,0.0,0.0
338.0,Wake,0.7,0.5069,0.5828,16.7203,0.0,1.0,0.0,0.0
343.1,Wake,0.7,0.5118,0.5842,16.7679,0.0,1.0,0.0,0.0
348.3,Wake,0.7,0.5758,0.5851,16.8002,0.0,1.0,0.0,0.0
353.4,Wake,0.7,0.593,0.5905,16.8269,0.0,1.0,0.0,0.0
358.5,Wake,0.7,0.575,0.5763,16.8115,0.0,1.0,0.0,0.0
363.6,Wake,0.7,0.5563,0.5529,16.8002,0.0,1.0,0.0,0.0
368.7,Wake,0.7,0.5464,0.5466,16.7723,0.0,1.0,0.0,0.0
373.9,Wake,0.7,0.5159,0.5541,16.7794,0.0,1.0,0.0,0.0
379.0,Wake,0.7,0.4561,0.5532,16.8097,0.0,1.0,0.0,0.0
384.1,Wake,0.7,0.4474,0.5381,16.9308,0.0,1.0,0.0,0.0
389.2,Wake,0.7,0.4754,0.5427,18.3488,0.0,1.0,0.0,0.0
394.4,Wake,0.7,0.5003,0.5504,18.559,0.0,1.0,0.0,0.0
399.5,Wake,0.7,0.5909,0.5564,18.5976,0.0,1.0,0.0,0.0
404.6,Wake,0.7,0.6309,0.5539,18.5253,0.0,1.0,0.0,0.0
409.7,Wake,0.7,0.7179,0.5827,18.3871,0.0,1.0,0.0,0.0
414.8,Wake,0.7,0.6835,0.5718,18.2786,0.0,1.0,0.0,0.0
420.0,Wake,0.7,0.6256,0.5432,18.2482,0.0,1.0,0.0,0.0
425.1,Wake,0.7,0.6029,0.5427,18.1538,0.0,1.0,0.0,0.0
430.2,Wake,0.7,0.5394,0.5152,18.0605,0.0,1.0,0.0,0.0
435.3,Wake,0.7,0.5413,0.5006,17.9701,0.0,1.0,0.0,0.0
440.5,Wake,0.7,0.5301,0.4936,17.9372,0.0,1.0,0.0,0.0
445.6,Wake,0.7,0.5199,0.518,17.8625,0.0,1.0,0.0,0.0
450.7,Wake,0.7,0.5441,0.5512,17.7986,0.0,1.0,0.0,0.0
455.8,Wake,0.7,0.5319,0.5452,17.7538,0.0,1.0,0.0,0.0
460.9,Wake,0.7,0.5439,0.5858,17.6737,0.0,1.0,0.0,0.0
466.1,Wake,0.7,0.5431,0.5789,17.6676,0.0,1.0,0.0,0.0
471.2,Wake,0.7,0.5626,0.5969,17.6837,0.0,1.0,0.0,0.0
476.3,Wake,0.7,0.6038,0.5619,17.7229,0.0,1.0,0.0,0.0
481.4,Wake,0.7,0.5985,0.5576,17.6729,0.0,1.0,0.0,0.0
486.6,Wake,0.7,0.6066,0.5668,17.6537,0.0,1.0,0.0,0.0
491.7,Wake,0.7,0.5995,0.5663,17.6316,0.0,1.0,0.0,0.0
496.8,Wake,0.7,0.6004,0.6073,17.5866,0.0,1.0,0.0,0.0
