time,stage,confidence,theta_alpha,beta_rel,motion_rms,fac_rate,signal,eog_on,eog_sacc
1756537596,Wake,0.7,1.0533,0.806,75.1871,0.0,1.0,0.0,0.0
1756537601,Wake,0.7,1.1067,0.8036,74.8104,0.0,1.0,0.0,0.0
1756537606,Wake,0.7,1.1626,0.7712,74.5,0.0,1.0,0.0,0.0
1756537611,Wake,0.7,1.0992,0.8115,74.3374,0.0,1.0,0.0,0.0
1756537616,Wake,0.7,1.1005,0.8211,74.1856,0.0,1.0,0.0,0.0
1756537621,Wake,0.7,0.8661,1.0828,74.1328,0.0,1.0,0.0,0.0
1756537626,Wake,0.7,0.8664,1.0823,74.0097,0.0,1.0,0.0,0.0
1756537632,Wake,0.7,0.8667,1.0823,73.6121,0.0,1.0,0.0,0.0
1756537637,Wake,0.7,0.8667,1.0823,73.3153,0.0,1.0,0.0,0.0
1756537642,Wake,0.7,0.8672,1.082,73.113,0.0,1.0,0.0,0.0
1756537647,Wake,0.7,0.8679,1.0817,72.9368,0.0,1.0,0.0,0.0
1756537652,Wake,0.7,1.1942,0.796,72.9404,0.0,1.0,0.0,0.0
1756537657,Wake,0.7,1.2769,0.7875,72.9301,0.0,1.0,0.0,0.0
1756537662,Wake,0.7,1.2818,0.7879,73.0871,0.0,1.0,0.0,0.0
1756537667,Wake,0.7,1.2894,0.7982,73.1701,0.0,1.0,0.0,0.0
1756537672,Wake,0.7,1.368,0.789,73.1701,0.0,1.0,0.0,0.0
1756537678,Wake,0.7,1.3766,0.7942,73.0435,0.0,1.0,0.0,0.0
1756537683,Wake,0.7,2.9403,0.3986,72.5891,0.0,1.0,0.0,0.0
1756537688,Wake,0.7,3.1457,0.4799,71.6345,0.0,1.0,0.0,0.0
1756537693,Wake,0.7,3.7463,0.4134,70.4967,0.0,1.0,0.0,0.0
1756537698,Wake,0.7,3.7462,0.4135,65.59,0.0,1.0,0.0,0.0
1756537703,Wake,0.7,3.7458,0.4136,40.4939,0.0,1.0,0.0,0.0
1756537708,Wake,0.7,3.7458,0.4136,40.304,0.0,1.0,0.0,0.0
1756537713,Wake,0.7,4.2176,0.4216,40.2094,0.0,1.0,0.0,0.0
1756537719,Wake,0.7,3.7906,0.2151,40.1921,0.0,1.0,0.0,0.0
